time,longitude,latitude,snr_[MJ/m2],tp_[mm],ro_[m],sm_[m3/m3],le_[W/m2],t2m_[K],lai_[m2/m2],evi_[],ndvi_[]
2008-01-01,8.125,48.125,-1.0695708,0.008254657,5.9350845e-05,0.3783758,5.091874411812535,271.58612,0.5448122620582581,0.20276803,0.419252
2008-01-02,8.125,48.125,-2.1632519,0.0025012603,5.744614e-05,0.3744557,5.07913012471464,269.07013,0.6421064659953117,0.20574427,0.42073876
2008-01-03,8.125,48.125,-0.62542146,0.01323297,5.6366593e-05,0.370631,5.066385837616743,271.70096,0.7394006699323654,0.2087205,0.42222565
2008-01-04,8.125,48.125,-0.83059204,0.0008872959,5.5724897e-05,0.36856878,5.053641550518848,272.94614,0.8366948738694191,0.21169677,0.42371243
2008-01-05,8.125,48.125,-0.08446327,12.935702,7.49536e-05,0.38517675,5.040897263420953,278.24106,0.9339890778064728,0.21467306,0.42519924
2008-01-06,8.125,48.125,0.61133796,15.033921,0.00015286225,0.40769142,5.028152976323057,277.84613,1.0312832817435265,0.21764931,0.42668602
2008-01-07,8.125,48.125,-0.37236372,14.686386,0.00018178704,0.4158419,5.015408689225161,279.38882,1.1285774856805801,0.22062555,0.4281729
2008-01-08,8.125,48.125,-1.8179958,0.005592769,5.3652995e-05,0.4056086,5.002664402127265,276.0719,1.2258716896176338,0.22360183,0.42965972
2008-01-09,8.125,48.125,0.1452317,2.8045404,5.84984e-05,0.4054416,4.98992011502937,278.3054,1.3231658935546875,0.22657815,0.43114647
2008-01-10,8.125,48.125,0.16036117,0.5808271,5.5806693e-05,0.40116453,5.117238982132187,280.17087,1.2793534398078918,0.22955436,0.4326333
2008-01-11,8.125,48.125,-1.4716182,0.021519527,5.4244876e-05,0.39630312,5.2445578492350045,280.07718,1.2355409860610962,0.23253061,0.43412015
2008-01-12,8.125,48.125,-0.5473465,3.7316442,5.907038e-05,0.4028902,5.371876716337821,276.30197,1.1917285323143005,0.23550686,0.43560687
2008-01-13,8.125,48.125,-0.70014787,0.0037378639,5.4797303e-05,0.39838135,5.499195583440638,273.87814,1.1479160785675049,0.23848315,0.43709376
2008-01-14,8.125,48.125,-1.0778593,1.8539165,5.7567417e-05,0.39838713,5.626514450543456,275.85553,1.1041036248207092,0.24145943,0.43858066
2008-01-15,8.125,48.125,-0.43749097,0.3476186,5.447583e-05,0.3950195,5.753833317646273,278.92236,1.0602911710739136,0.24443565,0.44006747
2008-01-16,8.125,48.125,-0.48879755,4.4790783,6.0504717e-05,0.40102452,5.881152184749091,279.15683,1.016478717327118,0.24741194,0.44155425
2008-01-17,8.125,48.125,0.09727788,2.8413625,5.8308753e-05,0.4042147,6.008471051851908,278.52432,0.9726662635803223,0.24749981,0.4488727
2008-01-18,8.125,48.125,0.67763066,5.7612467,6.9917456e-05,0.4083983,6.205491997577525,280.624,0.97223050147295,0.24682753,0.45772567
2008-01-19,8.125,48.125,0.28143656,1.6157299,5.5005035e-05,0.40798086,6.402512943303143,282.9396,0.9717947393655777,0.24615525,0.46657875
2008-01-20,8.125,48.125,-0.37957165,0.025032964,5.342052e-05,0.4009238,6.599533889028761,281.28998,0.9713589772582054,0.24548304,0.4754317
2008-01-21,8.125,48.125,-0.17653535,1.277796,5.458032e-05,0.40040264,6.796554834754378,279.12454,0.9709232151508331,0.24481073,0.48428476
2008-01-22,8.125,48.125,0.04005127,12.311689,8.316867e-05,0.41242403,6.993575780479995,277.04648,0.9704874530434608,0.24413845,0.4931379
2008-01-23,8.125,48.125,-0.18736798,-1.6653345e-13,5.339034e-05,0.40837294,7.190596726205613,273.66238,0.9700516909360886,0.2434662,0.5019909
2008-01-24,8.125,48.125,0.5550885,0.4200072,5.442295e-05,0.4011353,7.38761767193123,276.4485,0.9696159288287163,0.24279392,0.5108439
2008-01-25,8.125,48.125,0.62501985,1.164959,5.5929533e-05,0.39919975,7.584638617656848,275.78833,0.969180166721344,0.24212168,0.519697
2008-01-26,8.125,48.125,-0.6999981,0.0017745917,5.3750293e-05,0.3935445,7.716481815333719,274.33392,0.9740271791815758,0.24144943,0.5285501
2008-01-27,8.125,48.125,-0.6283887,-1.6653345e-13,5.3731972e-05,0.3896555,7.848325013010589,276.48795,0.9788741916418076,0.24077715,0.537403
2008-01-28,8.125,48.125,0.67075926,0.0026618876,5.3731972e-05,0.38560635,7.98016821068746,275.46368,0.9837212041020393,0.2401049,0.546256
2008-01-29,8.125,48.125,0.40712532,0.007985663,5.3772226e-05,0.382708,8.112011408364332,274.60068,0.9885682165622711,0.2394326,0.5551091
2008-01-30,8.125,48.125,0.7619063,2.4246197,5.4059656e-05,0.38703713,8.243854606041202,274.82803,0.9934152290225029,0.23876038,0.56396216
2008-01-31,8.125,48.125,0.81761867,0.78525454,5.3733536e-05,0.38785356,8.375697803718072,273.69247,0.9982622414827347,0.23808815,0.5728152
2008-02-01,8.125,48.125,1.1166621,14.824511,7.185133e-05,0.4016036,8.507541001394943,278.16272,1.0031092539429665,0.237999,0.5772356
2008-02-02,8.125,48.125,0.6677164,3.9247558,5.4396525e-05,0.4111777,8.639384199071813,272.502,1.0079562664031982,0.23832648,0.57848996
2008-02-03,8.125,48.125,-0.3843212,1.6653345e-13,5.3513922e-05,0.39841148,8.913562201929313,270.69968,1.0321303755044937,0.23865391,0.5797443
2008-02-04,8.125,48.125,-0.11426478,3.0322053,5.6963978e-05,0.39955705,9.187740204786813,274.92267,1.0563044846057892,0.23898137,0.58099854
2008-02-05,8.125,48.125,0.74710137,2.1969588,5.8307025e-05,0.4004942,9.461918207644311,277.64664,1.0804785937070847,0.23930882,0.58225286
2008-02-06,8.125,48.125,1.6970689,9.4222145,8.891888e-05,0.40896827,9.736096210501811,280.17975,1.1046527028083801,0.23963624,0.5835072
2008-02-07,8.125,48.125,1.176716,0.2489317,5.2556774e-05,0.4063014,10.010274213359311,275.84882,1.1288268119096756,0.23996373,0.5847615
2008-02-08,8.125,48.125,0.75816584,1.6653345e-13,5.187491e-05,0.39784646,10.28445221621681,275.44705,1.153000921010971,0.24029118,0.58601594
2008-02-09,8.125,48.125,1.3296686,1.6653345e-13,5.1906583e-05,0.3929483,10.55863021907431,275.78357,1.1771750301122665,0.24061865,0.5872702
2008-02-10,8.125,48.125,1.2186865,1.6653345e-13,5.169903e-05,0.3884343,10.83280822193181,275.73886,1.201349139213562,0.2409461,0.5885246
2008-02-11,8.125,48.125,1.1507566,1.6653345e-13,5.1548475e-05,0.38514587,11.114950067605132,275.89053,1.1865774095058441,0.24127354,0.58977884
2008-02-12,8.125,48.125,1.7016085,1.6653345e-13,5.1346047e-05,0.38234952,11.397091913278455,275.46713,1.1718056797981262,0.24160095,0.59103316
2008-02-13,8.125,48.125,1.5005157,1.6653345e-13,5.0812785e-05,0.37933773,11.679233758951778,273.84363,1.1570339500904083,0.2419284,0.5922874
2008-02-14,8.125,48.125,2.050037,1.6653345e-13,5.042935e-05,0.38284272,11.9613756046251,272.89355,1.1422622203826904,0.24225591,0.59354174
2008-02-15,8.125,48.125,1.7224125,0.007897362,5.0100723e-05,0.3815294,12.243517450298423,272.54468,1.1274904906749725,0.24258335,0.594796
2008-02-16,8.125,48.125,0.81852114,1.6653345e-13,4.965979e-05,0.37979198,12.525659295971746,272.14777,1.1127187609672546,0.24284895,0.5953814
2008-02-17,8.125,48.125,1.5470352,1.6653345e-13,4.9260267e-05,0.37693423,12.807801141645069,271.25763,1.0979470312595367,0.24301152,0.59485155
2008-02-18,8.125,48.125,2.1430855,1.6653345e-13,4.8516038e-05,0.37554055,13.089942987318391,272.79697,1.0831753015518188,0.24317403,0.5943219
2008-02-19,8.125,48.125,2.3787045,1.6653345e-13,4.8092395e-05,0.37360972,12.940877738098303,274.4089,1.0786986649036407,0.24333659,0.59379226
2008-02-20,8.125,48.125,1.8556244,3.0561764,5.1349994e-05,0.38150615,12.791812488878215,276.67557,1.0742220282554626,0.24349909,0.5932625
2008-02-21,8.125,48.125,0.66713184,4.24954,5.2866963e-05,0.39873463,12.642747239658126,279.6001,1.0697453916072845,0.24366163,0.59273285
2008-02-22,8.125,48.125,2.5661569,0.353311,4.6915036e-05,0.41281033,12.493681990438038,280.85873,1.0652687549591064,0.24382418,0.592203
2008-02-23,8.125,48.125,3.7846267,0.41508237,4.6108195e-05,0.4116713,12.344616741217948,281.57178,1.0607921183109283,0.24398676,0.5916734
2008-02-24,8.125,48.125,3.5588768,1.6653345e-13,4.5426328e-05,0.4081121,12.19555149199786,282.51294,1.0563154816627502,0.24414928,0.59114367
2008-02-25,8.125,48.125,1.7970821,0.00095112715,4.4680393e-05,0.4037574,12.046486242777771,281.84976,1.0518388450145721,0.24431182,0.59061396
2008-02-26,8.125,48.125,3.9116051,4.920534,5.034319e-05,0.41162196,11.897420993557683,282.37042,1.047362208366394,0.24447435,0.5900843
