time,longitude,latitude,snr_[MJ/m2],tp_[mm],ro_[m],sm_[m3/m3],le_[W/m2],t2m_[K],lai_[m2/m2],evi_[],ndvi_[]
2008-01-01,-3.625,38.625,1.6265017,0.00594767,6.938894e-18,0.23759547,15.159671505292255,276.2573,0.30109164118766785,0.144028,0.30884796
2008-01-02,-3.625,38.625,0.46011108,12.292146,3.1189468e-06,0.2554957,15.09805796322999,280.40665,0.3139497824013233,0.1454175,0.3104027
2008-01-03,-3.625,38.625,2.4940145,12.748878,3.8207672e-06,0.29757413,15.036444421167726,280.50784,0.3268079236149788,0.146807,0.31195736
2008-01-04,-3.625,38.625,1.1900134,0.7674296,1.05499865e-07,0.30692396,14.974830879105461,278.68634,0.33966606482863426,0.1481965,0.31351197
2008-01-05,-3.625,38.625,2.7419262,0.7709782,1.5712168e-07,0.30692536,14.913217337043196,280.5837,0.35252420604228973,0.149586,0.3150667
2008-01-06,-3.625,38.625,2.0045607,0.93650115,1.8214969e-07,0.30802912,14.851603794980932,283.8417,0.3653823472559452,0.1509755,0.3166214
2008-01-07,-3.625,38.625,2.2578416,0.008756493,6.938894e-18,0.30645794,14.789990252918667,282.30923,0.3782404884696007,0.152365,0.3181761
2008-01-08,-3.625,38.625,2.1209776,0.007600203,6.938894e-18,0.30126357,14.728376710856402,281.12274,0.39109862968325615,0.15375452,0.31973073
2008-01-09,-3.625,38.625,2.1611712,0.042939276,6.938894e-18,0.2980337,14.666763168794137,282.44427,0.4039567708969116,0.15514402,0.3212854
2008-01-10,-3.625,38.625,1.7879817,0.062772095,6.938894e-18,0.29466784,14.961735966304937,282.77457,0.4113912023603916,0.15653351,0.3228401
2008-01-11,-3.625,38.625,0.72405803,2.992702,7.6509286e-07,0.29939723,15.256708763815737,281.1725,0.4188256338238716,0.15792303,0.32439476
2008-01-12,-3.625,38.625,1.2424036,-1.6653345e-13,6.938894e-18,0.29885393,15.55168156132654,277.81882,0.4262600652873516,0.15931252,0.3259494
2008-01-13,-3.625,38.625,3.4469755,0.0137068415,6.938894e-18,0.29358158,15.84665435883734,277.8715,0.4336944967508316,0.16070202,0.32750407
2008-01-14,-3.625,38.625,3.0095356,7.0933633,2.416942e-06,0.3038391,16.14162715634814,281.2222,0.4411289282143116,0.16209151,0.32905874
2008-01-15,-3.625,38.625,1.0911419,0.036175013,6.938894e-18,0.3078422,16.43659995385894,280.384,0.4485633596777916,0.16348103,0.33061343
2008-01-16,-3.625,38.625,2.2587378,1.228724,1.1279869e-07,0.30988106,16.73157275136974,283.07144,0.4559977911412716,0.16487052,0.33216807
2008-01-17,-3.625,38.625,1.5488423,0.021637067,6.938894e-18,0.30531242,17.02654554888054,280.82944,0.4634322226047516,0.16527306,0.33355454
2008-01-18,-3.625,38.625,3.6793833,0.041797493,6.938894e-18,0.3016503,17.189547695495463,282.62238,0.4720531813800335,0.16541588,0.33489668
2008-01-19,-3.625,38.625,2.9257245,-1.6653345e-13,6.938894e-18,0.2961297,17.352549842110385,281.92896,0.4806741401553154,0.16555868,0.33623883
2008-01-20,-3.625,38.625,2.9285376,-1.6653345e-13,6.938894e-18,0.2919796,17.51555198872531,282.936,0.4892950989305973,0.16570152,0.33758104
2008-01-21,-3.625,38.625,2.836238,-1.6653345e-13,6.938894e-18,0.28823346,17.67855413534023,283.77502,0.4979160577058792,0.16584429,0.33892316
2008-01-22,-3.625,38.625,2.699854,-1.6653345e-13,6.938894e-18,0.28456777,17.841556281955153,283.36658,0.5065370164811611,0.16598715,0.3402653
2008-01-23,-3.625,38.625,2.7634919,-1.6653345e-13,6.938894e-18,0.27975208,18.00455842857008,282.17538,0.515157975256443,0.16612995,0.34160748
2008-01-24,-3.625,38.625,3.075812,-1.6653345e-13,6.938894e-18,0.27487475,18.167560575185,281.6397,0.5237789340317249,0.16627276,0.34294963
2008-01-25,-3.625,38.625,2.761894,-1.6653345e-13,6.938894e-18,0.27062458,18.33056272179992,280.82678,0.5323998928070068,0.1664156,0.3442918
2008-01-26,-3.625,38.625,1.5788049,0.00033002323,6.938894e-18,0.26606297,18.627864515615833,280.2464,0.5332178324460983,0.1665584,0.34563395
2008-01-27,-3.625,38.625,2.9148178,-1.6653345e-13,6.938894e-18,0.26217815,18.92516630943175,279.6947,0.5340357720851898,0.16670124,0.34697616
2008-01-28,-3.625,38.625,2.9636881,-1.6653345e-13,6.938894e-18,0.25845116,19.22246810324766,279.71484,0.5348537117242813,0.16684404,0.34831822
2008-01-29,-3.625,38.625,3.1724162,-1.6653345e-13,6.938894e-18,0.25385076,19.519769897063576,280.3822,0.5356716513633728,0.16698685,0.34966046
2008-01-30,-3.625,38.625,3.3238454,-1.6653345e-13,6.938894e-18,0.25112838,19.817071690879487,281.04953,0.5364895910024643,0.16712967,0.35100257
2008-01-31,-3.625,38.625,3.451083,-1.6653345e-13,6.938894e-18,0.24592045,20.1143734846954,279.8133,0.5373075306415558,0.1672725,0.35234475
2008-02-01,-3.625,38.625,2.9034307,0.0031864746,0.0,0.24400385,20.411675278511314,279.46985,0.5381254702806473,0.16803484,0.35407275
2008-02-02,-3.625,38.625,0.35560137,0.3276367,0.0,0.24440949,20.708977072327226,279.78604,0.5389434099197388,0.1692397,0.35607642
2008-02-03,-3.625,38.625,3.0275428,0.8926528,4.5258545e-07,0.24858835,21.08971864261009,281.18372,0.5419234782457352,0.17044456,0.35808006
2008-02-04,-3.625,38.625,2.576257,1.9739527,3.9154227e-07,0.25496992,21.470460212892956,282.05624,0.5449035465717316,0.17164944,0.36008367
2008-02-05,-3.625,38.625,4.1537595,1.6653345e-13,0.0,0.25544965,21.85120178317582,281.1537,0.547883614897728,0.1728543,0.36208734
2008-02-06,-3.625,38.625,3.9253976,1.6653345e-13,0.0,0.25055045,22.23194335345869,281.12546,0.5508636832237244,0.17405918,0.36409092
2008-02-07,-3.625,38.625,3.8723452,1.6653345e-13,0.0,0.24596946,22.612684923741554,282.77307,0.5538437515497208,0.17526402,0.36609462
2008-02-08,-3.625,38.625,3.6896167,1.6653345e-13,0.0,0.24125779,22.99342649402442,282.9922,0.5568238198757172,0.17646891,0.36809826
2008-02-09,-3.625,38.625,3.6084328,1.6653345e-13,0.0,0.23712555,23.374168064307284,282.9001,0.5598038882017136,0.17767376,0.3701019
2008-02-10,-3.625,38.625,3.578694,1.6653345e-13,0.0,0.23114717,23.75490963459015,281.94995,0.56278395652771,0.1788786,0.37210548
2008-02-11,-3.625,38.625,3.8380976,1.6653345e-13,0.0,0.22822031,23.569005920931144,281.3324,0.5578469187021255,0.1800835,0.37410915
2008-02-12,-3.625,38.625,4.2733593,1.6653345e-13,0.0,0.2223328,23.38310220727214,280.9968,0.5529098808765411,0.18128836,0.37611276
2008-02-13,-3.625,38.625,3.7630982,1.6653345e-13,0.0,0.22016725,23.197198493613136,281.0161,0.5479728430509567,0.18249321,0.3781165
2008-02-14,-3.625,38.625,3.9736624,0.013812374,0.0,0.21931967,23.011294779954135,283.0221,0.5430358052253723,0.1836981,0.3801201
2008-02-15,-3.625,38.625,2.9510376,0.069932036,0.0,0.21851268,22.82539106629513,284.0588,0.5380987673997879,0.18490295,0.38212377
2008-02-16,-3.625,38.625,5.4639587,1.6653345e-13,0.0,0.21730205,22.639487352636124,283.81592,0.5331617295742035,0.18655057,0.38461253
2008-02-17,-3.625,38.625,2.4061093,0.85779524,1.9265148e-07,0.2174565,22.453583638977122,281.7094,0.5282246917486191,0.18893611,0.38791028
2008-02-18,-3.625,38.625,4.90378,4.513332,1.0753445e-06,0.22782615,22.267679925318117,284.04797,0.5232876539230347,0.19132163,0.39120793
2008-02-19,-3.625,38.625,3.0389166,15.856883,4.1062694e-06,0.25760335,23.033643072402036,284.1733,0.5741381570696831,0.19370717,0.39450553
2008-02-20,-3.625,38.625,3.79855,3.1995559,6.49346e-07,0.29168263,23.799606219485952,284.685,0.6249886602163315,0.19609268,0.39780328
2008-02-21,-3.625,38.625,4.722728,0.26704183,0.0,0.29126024,24.56556936656987,284.77377,0.6758391633629799,0.19847822,0.40110087
2008-02-22,-3.625,38.625,5.9428177,1.6653345e-13,0.0,0.28334343,25.33153251365379,284.20282,0.7266896665096283,0.20086375,0.40439865
2008-02-23,-3.625,38.625,3.8442583,0.80305123,1.2143444e-07,0.27881283,26.097495660737707,284.85077,0.7775401696562767,0.20324928,0.40769622
2008-02-24,-3.625,38.625,4.7688704,3.4638593,8.8449724e-07,0.28444827,26.863458807821626,284.49768,0.8283906728029251,0.20563485,0.41099393
2008-02-25,-3.625,38.625,6.4664516,1.5265241,2.3269502e-07,0.28678027,27.629421954905546,284.28558,0.8792411759495735,0.20802039,0.41429162
2008-02-26,-3.625,38.625,6.3838577,0.020874718,0.0,0.28077298,28.39538510198946,284.9077,0.9300916790962219,0.2104059,0.4175892
2008-02-27,-3.625,38.625,6.8543186,0.0230284,0.0,0.27234668,29.099687795948096,286.11823,0.941723145544529,0.21279144,0.4208869
2008-02-28,-3.625,38.625,5.6548595,6.891393,1.7148426e-06,0.2772861,29.80399048990673,284.994,0.953354611992836,0.215177,0.42418462
2008-02-29,-3.625,38.625,4.4317355,0.119120896,0.0,0.2813836,30.50829318386537,285.00726,0.964986078441143,0.2175625,0.4274823
2008-03-01,-3.625,38.625,6.907588,0.0,0.0,0.2748162,31.212595877824004,285.71204,0.9766175448894501,0.21994802,0.43077996
2008-03-02,-3.625,38.625,7.4024878,0.0,0.0,0.26568174,31.91689857178264,287.1554,0.9882490113377571,0.22236086,0.43395483
2008-03-03,-3.625,38.625,7.47272,0.0002858961,0.0,0.25775594,32.62120126574128,287.36893,0.9998804777860641,0.22490998,0.43651608
2008-03-04,-3.625,38.625,6.2415385,0.0,0.0,0.24978015,33.32550395969991,282.99747,1.0115119442343712,0.2274591,0.4390773
2008-03-05,-3.625,38.625,4.9108553,0.0,0.0,0.24238122,34.02980665365855,278.63223,1.0231434106826782,0.23000824,0.44163853
2008-03-06,-3.625,38.625,7.2593994,0.0,0.0,0.23756084,34.86545756459236,278.588,1.0130638107657433,0.23255734,0.44419974
2008-03-07,-3.625,38.625,7.374952,0.0,0.0,0.23321708,35.70110847552617,281.73163,1.0029842108488083,0.23510647,0.44676098
2008-03-08,-3.625,38.625,7.508079,0.0,0.0,0.22899619,36.536759386459984,283.27362,0.9929046109318733,0.23765562,0.44932225
