time,longitude,latitude,snr_[MJ/m2],tp_[mm],ro_[m],sm_[m3/m3],le_[W/m2],t2m_[K],lai_[m2/m2],evi_[],ndvi_[]
2008-01-01,16.375,63.625,-0.9476248,0.8694411,1.699663e-05,0.35451877,1.6310291916683868,268.71024,0.128879114985466,nan,nan
2008-01-02,16.375,63.625,-1.0934824,1.376321,1.643089e-05,0.35460266,1.708407179211025,271.4956,0.13191913440823555,nan,nan
2008-01-03,16.375,63.625,-1.3016388,1.4691362,1.643089e-05,0.35590845,1.785785166753663,268.7389,0.1349591538310051,nan,nan
2008-01-04,16.375,63.625,-2.4515069,0.9454737,1.643089e-05,0.35207996,1.863163154296301,270.0177,0.13799917325377464,nan,nan
2008-01-05,16.375,63.625,-1.5052365,1.3913735,1.6463218e-05,0.35138175,1.940541141838939,270.0966,0.1410391926765442,nan,nan
2008-01-06,16.375,63.625,-0.88842833,3.3688965,1.6527874e-05,0.35325208,2.017919129381577,270.62683,0.14407921209931374,nan,nan
2008-01-07,16.375,63.625,-0.9032053,0.7559609,1.6624857e-05,0.35124797,2.095297116924215,272.39236,0.14711923152208328,nan,nan
2008-01-08,16.375,63.625,-1.0615821,1.058035,1.6560201e-05,0.35290107,2.1726751044668533,272.79193,0.15015925094485283,nan,nan
2008-01-09,16.375,63.625,-0.91963786,4.4340835,1.6786498e-05,0.35936555,2.2500530920094914,272.7366,0.15319927036762238,nan,nan
2008-01-10,16.375,63.625,-2.0939612,1.4349941,1.6814653e-05,0.35790187,2.211835515616393,273.49927,0.15000347420573235,nan,nan
2008-01-11,16.375,63.625,-1.7206397,5.2496543,1.68986e-05,0.36277208,2.173617939223294,272.31708,0.14680767804384232,nan,nan
2008-01-12,16.375,63.625,-3.0161688,2.3876176,1.698724e-05,0.36308193,2.135400362830195,266.68982,0.14361188188195229,nan,nan
2008-01-13,16.375,63.625,-3.7683284,6.3935847,1.698724e-05,0.35872656,2.0971827864370964,267.90887,0.14041608572006226,nan,nan
2008-01-14,16.375,63.625,-1.5229353,1.4515008,1.709361e-05,0.35452184,2.058965210043998,270.3736,0.13722028955817223,nan,nan
2008-01-15,16.375,63.625,-1.706204,0.16406532,1.8287132e-05,0.3514474,2.020747633650899,275.34274,0.1340244933962822,nan,nan
2008-01-16,16.375,63.625,-0.78226346,6.2025743,1.8153127e-05,0.36420625,1.9825300572578002,274.4079,0.13082869723439217,nan,nan
2008-01-17,16.375,63.625,-0.34525263,9.815064,1.7970633e-05,0.37187672,1.9443124808647014,273.4266,0.12763290107250214,0.20070636,0.09361089
2008-01-18,16.375,63.625,-0.98335236,1.0336964,1.716452e-05,0.3688776,1.990187533751682,271.2345,0.1395704299211502,0.1956365,0.09731307
2008-01-19,16.375,63.625,-0.7797825,6.241552,1.7191112e-05,0.37195936,2.0360625866386624,273.43192,0.15150795876979828,0.19056667,0.10101524
2008-01-20,16.375,63.625,-4.99348,0.29337955,1.7182248e-05,0.36717942,2.081937639525643,269.6046,0.16344548761844635,0.18549682,0.104717426
2008-01-21,16.375,63.625,-3.3377788,0.40814954,1.7292788e-05,0.36229473,2.1278126924126237,265.58154,0.17538301646709442,0.18042696,0.10841962
2008-01-22,16.375,63.625,-5.1466203,0.045722514,1.7357446e-05,0.35415775,2.173687745299604,266.7812,0.1873205453157425,0.17535709,0.1121218
2008-01-23,16.375,63.625,-2.063694,0.37832677,1.7325116e-05,0.35140654,2.2195627981865846,260.2633,0.19925807416439056,0.17028725,0.11582398
2008-01-24,16.375,63.625,-2.0998058,8.437004,1.7519083e-05,0.35168648,2.265437851073565,270.82654,0.21119560301303864,0.1652174,0.119526155
2008-01-25,16.375,63.625,-3.8116918,1.6890367,1.7567576e-05,0.3506075,2.3113129039605456,268.39383,0.2231331318616867,0.16014755,0.12322832
2008-01-26,16.375,63.625,-5.8868947,0.003837462,1.7535247e-05,0.34378943,2.2923995533751116,268.98087,0.22155598178505898,0.15507771,0.12693052
2008-01-27,16.375,63.625,-6.0310225,0.06495456,1.7357444e-05,0.3418277,2.273486202789677,267.2376,0.21997883170843124,0.15000784,0.13063268
2008-01-28,16.375,63.625,-2.2788332,0.6289028,1.7599903e-05,0.33983755,2.254572852204243,271.60715,0.2184016816318035,0.144938,0.13433489
2008-01-29,16.375,63.625,-3.7477999,1.958966,1.7519085e-05,0.34169143,2.2356595016188088,272.40042,0.21682453155517578,0.13986814,0.13803706
2008-01-30,16.375,63.625,-4.99341,0.018390665,1.755141e-05,0.33954996,2.216746151033375,266.41495,0.21524738147854805,0.13479827,0.14173925
2008-01-31,16.375,63.625,-2.5154057,1.4659704,1.7470593e-05,0.33895007,2.197832800447941,265.48685,0.21367023140192032,0.12972844,0.14544143
2008-02-01,16.375,63.625,-1.172829,8.360212,1.7629232e-05,0.34266382,2.1789194498625064,272.90616,0.2120930813252926,0.12888528,0.14785206
2008-02-02,16.375,63.625,-1.8439336,4.8034654,1.7751325e-05,0.34707007,2.1600060992770724,270.46005,0.21051593124866486,0.13106118,0.1493402
2008-02-03,16.375,63.625,-4.6545863,0.012394723,1.7736063e-05,0.34205922,2.339002590074583,261.7862,0.22727887518703938,0.13323711,0.15082833
2008-02-04,16.375,63.625,-0.08262234,0.58657306,1.769028e-05,0.33962485,2.517999080872094,261.77835,0.2440418191254139,0.13541299,0.15231648
2008-02-05,16.375,63.625,-0.3796991,0.57219017,1.7751325e-05,0.33673295,2.696995571669605,271.14877,0.2608047630637884,0.13758893,0.15380462
2008-02-06,16.375,63.625,-0.60088766,2.101059,1.7781846e-05,0.34246162,2.875992062467116,272.03027,0.27756770700216293,0.13976485,0.15529273
2008-02-07,16.375,63.625,-1.980814,1.2134627,1.7827631e-05,0.34405342,3.054988553264627,271.44547,0.29433065094053745,0.14194074,0.15678088
2008-02-08,16.375,63.625,-3.4968538,0.008313067,1.7797109e-05,0.3421047,3.2339850440621376,271.35794,0.31109359487891197,0.14411665,0.15826899
2008-02-09,16.375,63.625,0.015591459,1.6606663,1.7720802e-05,0.34715652,3.4129815348596484,273.34482,0.3278565388172865,0.1462926,0.15975714
2008-02-10,16.375,63.625,-1.9664904,0.51193404,1.758345e-05,0.3472871,3.591978025657159,272.3477,0.344619482755661,0.14846851,0.16124526
2008-02-11,16.375,63.625,-1.8427691,1.6653345e-13,1.7797109e-05,0.34710917,3.665637621587073,270.4315,0.3432775139808655,0.15064439,0.16273338
2008-02-12,16.375,63.625,-2.3955204,0.024544092,1.7766584e-05,0.34686014,3.739297217516987,267.17075,0.34193554520606995,0.15282029,0.1642215
